1512;KOMПPECC;2;1;0;0;0;1;;;;60.0;0.0;;;;;217.04;-53.89
1513;BAPЬEГ-2;2;1;0;0;0;1;;;;;;;;;;218.16;-53.18
1514;KC-3;2;1;0;0;0;1;;;;120.0;5.0;;;;;225.77;-46.55
1515;XOXPЯK;2;1;0;0;0;1;;;;61.0;15.0;;;;;212.81;-55.87
1516;TPAЧУKOB;2;1;0;0;0;1;;;;;;;;;;226.37;-45.72
1517;MEPИДИA;2;1;0;0;0;1;;;;80.0;25.0;;;;;218.92;-52.40
1518;TOПAЗ;2;1;0;0;0;1;;;-0.0;;;;;;;227.01;-46.89
1519;БEЛOЗ;2;1;0;0;0;1;;;;272.0;42.0;;;;;224.92;-48.56
1522;KOЛЬЦEB;2;1;0;0;0;1;;;;96.0;17.0;;;;;232.76;-46.50
1523;ЧУMПAC;2;1;0;0;0;1;;;;154.0;42.0;;;;;224.88;-46.45
1524;АТ НН;2;1;0;0;0;1;;;;10.0;5.0;;;;;11.���;-46.48
1525;БEЛOЗEPH;2;1;0;0;0;1;;;;148.0;17.0;;;;;224.04;-49.78
1526;ГKC-3;2;1;0;0;0;1;;;;160.0;0.0;;;;;217.57;-53.67
1531;MEГИOH;2;1;0;0;0;1;;;;326.0;90.0;;;;;228.07;-46.33
1535;KOCMOC;2;1;0;0;0;1;;;;157.0;46.0;;;;;227.48;-47.88
1536;EPMAK;2;1;0;0;0;1;;;;62.0;10.���;;;;;234.34;-47.53
1537;ФAKEЛ;2;1;0;0;0;1;;;;121.0;32.9;;;;;233.33;-48.11
1539;УPMAH;2;1;0;0;0;1;;;;104.0;26.0;;;;;224.00;-47.43
1540;OPБИTA;2;1;0;0;0;1;;;;45.0;9.0;;;;;224.32;-48.92
1541;OPБИTA;2;1;0;0;0;1;;;;51.0;10.0;;;;;232.91;-48.34
1542;ГПП-2ГП;2;1;0;0;0;1;;;;127.0;22.0;;;;;225.33;-47.25
1543;KИPЬЯH;2;1;0;0;0;1;;;;143.0;51.0;;;;;223.69;-47.42
1544;УPЬEB;2;1;0;0;0;1;;;;244.0;69.0;;;;;225.56;-46.16
1545;ЛACEГAH;2;1;0;0;0;1;;;;178.0;38.0;;;;;221.98;-47.56
1547;ПPOГPEC;2;1;0;0;0;1;;;;207.0;116.0;;;;;218.47;-48.52
1550;TABPИЧ;2;1;0;0;0;1;;;;118.0;28.0;;;;;221.60;-51.79
1551;BATЬEГAH;2;1;0;0;0;1;;;;96.0;17.0;;;;;222.97;-51.12
1557;KOЛЬЦEB;2;1;0;0;0;1;;;;19.0;2.0;;;;;223.84;-50.01
1562;ЭMTOP;2;1;0;0;0;1;;;;168.0;44.0;;;;;228.23;-46.27
1564;AЙCKAЯ;2;1;0;0;0;1;;;;48.0;2.0;;;;;223.36;-50.51
1565;AЙCKAЯ;2;1;0;0;0;1;;;;75.0;5.0;;;;;232.50;-48.84
1568;ГKC ..;2;1;0;0;0;1;;;;;;;;;;214.89;-56.72
1569;BЫHГAП;2;1;0;0;0;1;;;;183.0;44.0;;;;;214.50;-56.87
1570;MAЧT;2;1;0;0;0;1;;;;154.0;38.0;;;;;216.68;-53.97
1579;ГAЛИHA;2;1;0;0;0;1;;;;71.0;27.0;;;;;207.51;-57.51
1580;CИБИP;2;1;0;0;0;1;;;;;;;;;;228.22;-46.08
1582;ПPOTOЧ;2;1;0;0;0;1;;;;48.0;7.0;;;;;234.25;-47.72
1583;ПPOTOЧ;2;1;0;0;0;1;;;;74.0;9.0;;;;;227.42;-46.62
1586;EPMAK;2;1;0;0;0;1;;;;77.0;12.0;;;;;226.93;-46.98
1592;HAДEЖДA;2;1;0;0;0;1;;;;30.0;-0.0;;;;;224.85;-48.77
1622;ПPИMA...;3;1;0;0;0;1;;;;96.0;28.0;;;;;220.62;-60.71
1627;OЛEHЬЯ;3;1;0;0;0;1;;;;51.0;11.0;;;;;233.31;-63.89
1632;TAPKO-C;3;1;0;0;0;1;;;;489.0;59.0;;;;;226.80;-58.52
